LAT;LON;PALEO-LAT (Scotese);PALEO-LONG (Scotese);PALLAT_perrin;PALONG_perrin
32.4792;59.5736; ; ;37.4313;0.134
10.3333;45.05;-0.0592584;37.1455;38.0354;-3.7517
-10;39.6833;-14.7186;33.96;19.6633;40.6767
-10;39.6833;-14.7186;33.96;38.4349;0.2994
-14.8222;-146.8583;-22.413;-124.707;38.0851;0.2508
-5.75;141.7167;-28.6497;132.831;38.0851;0.2508
-6.0833;141.3833;-29.0242;132.507;31.9263;-69.5783
-21.7833;165.8833;-37.1074;164.045;31.8542;-69.1976
3.5333;44.05;-4.09487;36.7986;29.1655;-96.9117
-7.7667;110.2;-4.48238;117.005;25.1636;-8.7977
-4.4167;119.6667;1.23747;125.202;4.7857;62.9337
13.25;-59.5833;11.4903;-57.8296;-39.4327;143.362
25.9667;67.7667;12.9062;62.9274;-34.0858;25.75
17.9167;-62.8333;16.4086;-61.9372;-29.9238;25.9811
26.9;27.6;16.5579;22.6952;25.4113;-7.4667
18.0833;-63.0833;16.5831;-62.1792;13;-60
18.2167;-77.1;17.2047;-76.1834;31.488;-71.1258
18.3667;-77.1167;17.3549;-76.1983;26.6597;-8.4151
16.6667;-93.0833;18.6047;-83.4871;3.1863;83.5678
17.05;-92.7167;18.7283;-83.6827;15.9;-87.8
33.4167;47.9667;19.8816;40.7646;28.931;9.4784
10;45;2.38936;37.6127;35.9222;-106.439
29.9833;31.1333;22.5168;26.375;38.2;24.2
35.4667;44.4333;25.5379;38.4359;24.4782;38.3791
30.8333;34.4167;25.8658;29.8559;39.1398;110.653
11.5833;162.25;3.22451;-172.052;45.5911;13.0592
11.1667;46.9167;3.59962;39.4716;-28.457;133.352
41.15;28.45;33.7942;24.6714;3.9432;-172.095
44.6833;18.0833;36.153;16.0892;-28.8374;133.037
41.6667;27.5;37.0366;24.2365;9.2866;120.751
45.35;11.12;37.0755;10.2533;36.1158;109.388
41.8167;26.7;37.2148;23.4976;16.8369;-62.3224
38.6833;-0.35;37.2328;-3.40952;0.488;-40.6594
45.8667;13.8833;37.3013;12.7489;-4.65;36.4234
42.3;1.6667;37.6158;0.118078;6.4939;-26.0558
42.3833;0.5167;37.7275;-0.951683;-57.5159;120.898
43;2.7333;38.5672;0.265766;2.9889;41.2417
41.9333;2.3;38.8885;-0.294389;-57.5885;119.09
41.5833;1.6;38.9026;-1.22115;-38.577;142.508
45.55;13.85;39.1185;12.0178;-7.8095;78.9113
45.9667;13.5167;39.5586;11.7792;-0.5552;78.397
41.85;2.2167;39.813;-1.10154;1.976;-41.7577
41.95;2.3333;39.9707;-0.983412;38.3285;-0.6903
41.7667;2.1667;40.3721;-1.06308;17.0123;-62.5642
49.25;19.3667;40.5762;17.9189;37.2882;30.2083
42.2;-0.38;40.8928;-3.5605;-0.2148;80.2366
45.8861;10.8847;41.9979;9.06525;1.6;81.6
47.33;23.47;42.9662;20.7541;25.0001;17.5
47.1667;12.8833;43.1673;11.0627;2.2;82.3
49.0167;19;43.7915;16.6512;38.6971;0.007
48.9167;16.75;46.5208;12.5747;38.8301;-0.073
49.2333;17.3167;46.8524;13.0963;38.5968;-0.1036
48.45;34.9833;47.8942;30.4547;11;62
9.0236;-21.0403;6.05664;-26.3244;-28.0182;26.3008
9.0236;-21.0403;6.61707;-26.1382;-18.1365;31.8287
9.25;-79.6667;7.27653;-77.7565;-25.9665;27.7132
1.35;116.8333;8.73284;120.499;-38.1;164.4
32.7222;59.2417;8.84273;57.4834;-16.0022;32.983
;;;;23.4398;29.0881
;;;;39.884;-0.712
;;;;31.1829;-75.0312
;;;;-27.9901;-154.077
;;;;45.2839;14.9818
;;;;45.0986;14.8766
;;;;-21.1254;-124.726
;;;;42.1388;11.2016
;;;;44.7669;8.4055
;;;;13.0639;50.7723
;;;;40.9838;9.2209
;;;;36.125;23.396
;;;;35.9448;24.1238
;;;;7.7284;-78.205
;;;;19.0004;13.6
;;;;-0.2;125.4
;;;;45.217;3.8372
;;;;-53.3245;119.625
;;;;-53.2818;121.251
;;;;2.5018;-44.0117
;;;;1.0233;-42.9004
