"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",-0.856844202164681,-1.13714743045069,-1.49290227217059,-1.80509518423388,-1.66050227515159,-1.79593710745535,-1.8515593582584,-1.80856000608014,-1.83860904170621,-1.79317613955467,-1.80492130402596,-1.17103839112866
"14",-0.774030314838456,-1.09771845419891,-1.60066907294095,-1.79928485490382,-1.79988563805819,-1.75779735809192,-1.85876829735935,-1.8383882958442,-1.82995422836393,-1.81547001190484,-1.78813578933477,-1.11110375868157
"15",-0.900099879876082,-1.22998352252044,-1.64854546646019,-1.80107624190194,-1.80859378096345,-1.77372183021787,-1.84235117807017,-1.79562455570543,-1.7856248121757,-1.8272119605696,-1.77321078405752,-1.27965858578682
"16",-0.999220117265659,-1.28612624829815,-1.60306754804427,-1.733846894195,-1.78238485513195,-1.74980259422333,-1.82625000707565,-1.76718183935329,-1.7788321649836,-1.7994719513001,-1.747419691214,-1.42490635700123
"17",-1.07873796509245,-1.29308018827031,-1.58067120751764,-1.68177992691342,-1.76085889988985,-1.79589095176795,-1.81476496529375,-1.77822043854966,-1.78238625098497,-1.73559215359199,-1.61550975024191,-1.49116838691581
"18",-1.13607721188755,-1.23973561958833,-1.50072281830239,-1.70383258480014,-1.72342630114519,-1.79332198428385,-1.80315084196627,-1.79652584050641,-1.66385076623974,-1.75550205779798,-1.65073448569059,-1.52788706259294
"19",-1.07148428156877,-1.1303054257563,-1.36393708104541,-1.64502765494547,-1.69171682474719,-1.80087816886082,-1.79422102916013,-1.78278083937943,-1.72394121870114,-1.68963778018951,-1.67280472041505,-1.48502848349559
"20",-0.933680290616424,-0.923132636360616,-1.11922124461089,-1.52251291778667,-1.66872230259566,-1.78467336130542,-1.75462805337205,-1.75483325365202,-1.70644934084162,-1.69692051364889,-1.68560140962874,-1.41141548511369
"21",-0.739245611706523,-0.666213687532268,-0.875048487108919,-1.41143952036118,-1.57644126634427,-1.7309024331281,-1.67716028056872,-1.68531924800221,-1.64504597204082,-1.69544812482301,-1.5897058001615,-1.33287835329136
"22",-0.575703097750728,-0.412079223458475,-0.600523587703368,-1.26426042315891,-1.52952960059967,-1.72095226726414,-1.67527067268827,-1.66248915224899,-1.6193585320694,-1.6962719020039,-1.56386260375564,-1.26261091722873
"23",-0.395963201041405,-0.148273465682108,-0.330692504558381,-1.09230362500709,-1.43800589532833,-1.63630586002882,-1.63509601354599,-1.65480908797337,-1.59380936101079,-1.64273543135764,-1.51698708809339,-1.13606581917176
"24",-0.21044215458389,0.105834492666634,-0.142628864319753,-0.93652628691892,-1.3271412521682,-1.54448189133866,-1.60100175800339,-1.62868954216274,-1.59333179106048,-1.60625642058033,-1.45561202455487,-1.01471890467875
"25",-0.00358032051409627,0.374408906828157,0.0717531554474517,-0.733106044728587,-1.228536760852,-1.449996162412,-1.53384164879206,-1.56496561639782,-1.58732610495611,-1.58550679315438,-1.38536670658438,-0.843830212371306
"26",0.362561527743841,0.828713596512223,0.506408637522775,-0.3237875714877,-0.947577262832272,-1.26022882290216,-1.39579499835048,-1.45786196565409,-1.49074981313083,-1.46490981550254,-1.21405978365036,-0.560776836230887
"27",0.757245238754951,1.27903808270594,0.9529069252627,0.14357543204006,-0.575016123814587,-0.971135303126828,-1.19074885445371,-1.26139933358825,-1.31090606859767,-1.26535392405062,-0.971943305299001,-0.228818769172214
"28",1.14631543307975,1.6854428284872,1.36876276978592,0.608485962627834,-0.154184911593127,-0.630740343715672,-0.921379560582517,-0.999761072073539,-1.066541271279,-1.01740639548519,-0.682566339191811,0.131931816264257
"29",1.55296152720952,2.08577380890234,1.78853169026164,1.08988891128586,0.320566328441621,-0.229181560225293,-0.58347453803031,-0.677184704479037,-0.757872705796035,-0.710760788231467,-0.333703451315846,0.533193356581291
"30",1.97190125200011,2.49057307773166,2.21243146795556,1.58157141851973,0.840698745867659,0.240886462397046,-0.172875564441913,-0.288306481101447,-0.375464725985916,-0.328428728622384,0.0776216066620287,0.978761241087502
"31",2.39938336823575,2.90582353323698,2.6483422987577,2.06754921763592,1.37416838653897,0.74978955225217,0.292968911138855,0.148831881127424,0.0577433227354454,0.110930579704129,0.533805519673559,1.45327544266167
"32",2.83212680463524,3.33762880679634,3.08927564844489,2.55815722327679,1.90688427612185,1.28484055496778,0.80132349853302,0.629901968963976,0.53681471394375,0.593940749173958,1.02351616169326,1.9499878567464
"33",3.27619025174321,3.78793839514256,3.54394360681375,3.06091013360355,2.43427277934582,1.83728053065618,1.33747483175507,1.13896813817426,1.04595869149521,1.10840254230295,1.5403401893915,2.46078729767291
"34",3.74179822111295,4.25563219868475,4.01234143972397,3.57873566192057,2.95922633423543,2.39909608532519,1.89093261070763,1.67165044570186,1.58158451629246,1.64553418987958,2.07650782738864,2.97991872803929
"35",4.17962384182081,4.68577549196361,4.45011814993419,4.06284087494518,3.43315340469727,2.90466604333926,2.39517255044615,2.15888544921619,2.07564957290758,2.14156662133454,2.56441020607174,3.45317215620006
"36",4.67051105448178,5.15173755407333,4.92763452189309,4.5696716945512,3.9283480322361,3.41636146528114,2.918255807623,2.67774639781864,2.60274993985559,2.66907668738792,3.08246165492173,3.94806417474656
"37",5.21362021658306,5.66114040069472,5.44908809357932,5.09809554501228,4.44190852331372,3.92908561010199,3.432392176924,3.19890322935076,3.1156410729531,3.19971609379563,3.62044736445372,4.45601260425687
"38",5.81931487787143,6.23202163745195,6.03423079941687,5.66244910245607,4.99776328900601,4.47290281913219,3.97412960685556,3.74532615740457,3.65629393171699,3.75792145479916,4.18870276290435,5.00083324491468
"39",6.44784556282284,6.83927592985268,6.65353967877035,6.24456777613621,5.57475011943063,5.02504216463313,4.52723627035802,4.30282149700859,4.19474171960251,4.32149547791071,4.76631039415185,5.56617721138164
"40",7.13953364739675,7.5149239048404,7.34479020607708,6.88282875096156,6.19804107636298,5.60873163928391,5.11146265116359,4.87391075635429,4.75062796093587,4.89251608956637,5.37785780936395,6.1958452756952
"41",7.86359778379643,8.25178380408738,8.09522069081194,7.59397303750658,6.89409778111302,6.24990499258725,5.75007392957081,5.49415558559505,5.36552997697732,5.51919228743687,6.03514423718767,6.88657010762944
"42",8.59101788248335,9.00945826530457,8.86878080504281,8.325826587677,7.60781556265695,6.90617969989777,6.38581178256444,6.10006998232433,5.97307454211371,6.14360578332629,6.68536278247833,7.58363395759038
"43",9.38854463441031,9.85786053248814,9.7238657283783,9.12732623781477,8.3947357572828,7.63333933421544,7.08950976576124,6.75502617018563,6.64314254147666,6.83039221763611,7.4001043183463,8.35324689728873
"44",10.2070152581423,10.7320191490239,10.5947713961546,9.9479772907564,9.16943429804396,8.36135792595217,7.79424083917991,7.39800742645373,7.30818668384662,7.51781257815745,8.11798082411974,9.13858868198833
"45",11.083643880289,11.6633043110542,11.5094341407248,10.8245940538236,10.0027150874179,9.15231624185524,8.55975493505296,8.10150939792996,8.03243422989199,8.26227275645011,8.89698129840818,9.95983762905989
"46",12.0185184230694,12.643153532392,12.4690793704435,11.764470635122,10.87461451988,9.99748743889649,9.36966861603577,8.85582366430691,8.79975964981696,9.04952969165207,9.72923099925752,10.8174831798311
"47",12.9742687408848,13.6303598832111,13.4472075843255,12.7229967172917,11.7550837569612,10.853541008585,10.1906683799477,9.6381291244885,9.57224570766482,9.85257446661635,10.5893587176376,11.6868651392856
"48",13.9648177442495,14.641516905779,14.45935052459,13.7097147640429,12.655099684732,11.7240582181696,11.0298040847332,10.4464668321331,10.3667398837575,10.681940290663,11.4750657722964,12.5806224025481
"49",14.9522810874627,15.647941201751,15.4693993936505,14.7008135834633,13.5548629370349,12.5799412448504,11.8607716950757,11.2461459678516,11.1486481881281,11.5006384626467,12.3392605920981,13.462960167935
"50",15.8719443802236,16.6002619773931,16.4201431635865,15.6369793505432,14.4127806171384,13.3768518214323,12.639819879226,12.0072070627796,11.8943335711087,12.2859029102603,13.1437903534914,14.3063676322514
"51",16.7282219739419,17.4947490247276,17.2924553618139,16.5013736107607,15.2162964795838,14.1212142632932,13.3493118564172,12.7215541681117,12.5871002889583,13.0142983305906,13.8811048974796,15.1062684712535
"52",17.5447907016938,18.3471500069262,18.1115243032754,17.3261425753674,16.0172466858324,14.8743440573474,14.0322164469455,13.4284816851099,13.2661564421941,13.7218887547413,14.5851243605097,15.8744315038244
"53",18.3018154938533,19.142282712061,18.8672118781185,18.0951683485037,16.7513913122716,15.560285916082,14.6455856253673,14.0818721197296,13.8809641661253,14.3703256189642,15.2419352256056,16.611845129529
"54",18.9859465483463,19.8467177015362,19.5437681429314,18.7712906664068,17.4066228172996,16.1709804361517,15.2004645867781,14.6689322702812,14.4366451379025,14.9626809264674,15.8371442274614,17.2904633955522
"55",19.6706100866335,20.539863487267,20.2156086288825,19.4272991670381,18.046381203771,16.7701969030071,15.7616341908773,15.2481029551328,15.0082154346898,15.5602498273237,16.4317719520779,17.9587134585833
"56",20.2499170272973,21.1253452058051,20.7994345100063,20.0044643711892,18.6454068536212,17.3232884741133,16.3158732007264,15.8001646570339,15.5690769754398,16.1064472107371,16.9699602096703,18.5454031312542
"57",20.8583471531128,21.6978865016018,21.3923145080164,20.5937644341598,19.245969007511,17.8790451402318,16.8437024610664,16.3483598665042,16.1367343613023,16.6691847477022,17.5358054283822,19.1227006251269
"58",21.4551920971084,22.2394002021764,21.9559530007719,21.1415147235498,19.8372644687743,18.4526224810668,17.4091966930865,16.9141312608815,16.7297525213222,17.2622769513114,18.1266919177791,19.6947130916095
"59",21.9992703764496,22.7412714182712,22.4812217204216,21.6520190816437,20.3997059066403,19.044193686911,17.983646551218,17.4789845786705,17.3229545771457,17.8501489005699,18.7213318801669,20.241524924044
"60",22.4874546720271,23.2022468767668,22.974871324238,22.1459867176257,20.9466288215236,19.6209382408544,18.5591172101205,18.0359180684675,17.8868539308247,18.423344113534,19.2876349265115,20.7512292694627
"61",22.889142446115,23.5796221813685,23.3796476713369,22.5715749767465,21.4261245257418,20.1399835297759,19.0857136719663,18.5514883592095,18.4032433738171,18.948863862266,19.8033861912472,21.2075296388545
"62",23.3141964912415,23.9804433209555,23.806171471732,23.0351622104645,21.936354643958,20.6654043095452,19.6329459462847,19.0930386849812,18.9396998473576,19.4874013219561,20.3294520684651,21.6882474967412
"63",23.7193448808458,24.3565985840281,24.2171098921034,23.4892464299356,22.4455396317239,21.1635979785714,20.1656204927779,19.6292368912782,19.4676138047249,20.0144828741696,20.848191780856,22.1574611253636
"64",24.0547767804418,24.6675844915507,24.5607402298855,23.8635219684146,22.8678986965964,21.5755408972179,20.630846973791,20.1030426541821,19.9358931517343,20.4722925351415,21.2979742800716,22.5612115274698
"65",24.3251389238956,24.9238943601177,24.8623864946574,24.1920010051588,23.2327245343341,21.945872957689,21.0532000360698,20.5261603097846,20.3658310897159,20.8746202322688,21.6917728089938,22.9062460982887
"66",24.574705279315,25.1494503551059,25.1444692011233,24.4989853894269,23.5887812402513,22.331688842067,21.4689716091862,20.9439608962448,20.7876207316363,21.2717638051068,22.0665270522789,23.2359621895684
"67",24.8674799837587,25.4257691464903,25.4684191565531,24.8516883211951,23.9672186720327,22.7742505162179,21.9091651696698,21.3936075933804,21.2415819168091,21.714467846328,22.4866395227085,23.6079980999121
"68",25.0595865177929,25.6327873244321,25.695212901983,25.0983796155542,24.2346042618716,23.114159325908,22.2349476599156,21.746118764232,21.5954050838499,22.0477870209773,22.8089346455452,23.8863767681265
"69",25.2586957823555,25.8387420870223,25.9355924930213,25.3723176704263,24.5306799402777,23.4734281036089,22.5831002901185,22.1130767642327,21.9619009305846,22.4067701555648,23.1578400305982,24.1768100810501
"70",25.5048431653655,26.0783326366867,26.2150848903013,25.6903491288089,24.8619347761633,23.8622714267688,22.9718483878432,22.5076976268925,22.3619091734011,22.8027328034019,23.5535999969597,24.504048829668
"71",25.7588523543361,26.3073153722854,26.4791839655502,25.9824042826782,25.1625779679407,24.2035168623313,23.3161525167388,22.8575909094059,22.7188078946683,23.1721177363134,23.9283340579861,24.8245147523426
"72",25.9967824512058,26.5170998608624,26.7310343918977,26.2680409537421,25.4810236118458,24.5647583926166,23.6843119056137,23.2229430551882,23.0825029620418,23.5357599717599,24.2889797705191,25.0965874142117
"73",26.1787303027822,26.6789473277419,26.9248860344958,26.4976297777091,25.7667377173011,24.8773795455249,24.0120096598099,23.5455169250716,23.4122237305143,23.8633748915658,24.5963897847418,25.3184591407207
"74",26.3838419304755,26.8738293038275,27.1320111554368,26.7366315081604,26.0749257596812,25.2093280777895,24.3510260832937,23.8859807602445,23.7827914998047,24.2405878368177,24.9397058271824,25.5803560959665
"75",26.6016945127231,27.0894179628856,27.3512096476199,26.9958471824874,26.399588307338,25.5437426424738,24.6917028854142,24.2228891564839,24.152723291027,24.6217668590261,25.2995019172555,25.877056427856
"76",26.8237681318732,27.2959503426271,27.5655881026212,27.2584578079336,26.7221815235475,25.8923300154069,25.0512389575734,24.583828060066,24.5409648909288,24.9862652946921,25.6422256231308,26.1661101860159
"77",27.0074502951783,27.4579276149845,27.7355785574964,27.4826403518731,26.9708406455201,26.1560164420835,25.3330934586063,24.8678099792918,24.8616544525256,25.2974496520121,25.9262141634486,26.4187037628611
"78",27.2000865053876,27.6281104987202,27.897119997235,27.7071245200269,27.2170954938461,26.421996649474,25.6157696815572,25.1560816646046,25.1593376919892,25.5574706678289,26.1688829062248,26.6601116682711
"79",27.3352478814719,27.7545534588688,28.0358942988929,27.9116702707637,27.4264806903554,26.6360421503142,25.8387321254961,25.3715020583618,25.3936767238739,25.7665608701333,26.3557333148671,26.8505006430412
"80",27.4369741581354,27.8375020448395,28.1270980228384,28.0598080840633,27.5751846704382,26.8042122669018,26.0178145755727,25.5481514071407,25.5733824214329,25.9406288133493,26.5112635878708,27.0214246406151
"81",27.4988243683525,27.9101701612058,28.2254340475884,28.2117411641107,27.739692694899,27.0116512395334,26.2077607762986,25.7397328667019,25.7433149641839,26.0855544131735,26.6308211174564,27.1321809326393
"82",27.4180036051393,27.8776074928667,28.2445440623751,28.2734540401739,27.8126013177702,27.1226009972767,26.3245291691489,25.8386315894403,25.8128105958917,26.1232355036791,26.6056540647529,27.0776104135403
"83",27.4476839868646,27.9293202923653,28.32978660899,28.4024390098744,27.9661054539501,27.2963467504745,26.5357879122397,26.0259265827953,26.0152484277137,26.3511175714937,26.838984876647,27.2528948532908
"84",27.4355560781385,27.925764337692,28.3528599539637,28.4542831739999,28.0418048612065,27.3626435573563,26.6062645495165,26.1049164238991,26.1026624889881,26.4270792333799,26.9018890177796,27.2818220813011
"85",27.3291708628337,27.8324182956155,28.2858344914813,28.4260825306976,28.0400166931737,27.3271137179086,26.5892838372125,26.103900222486,26.1286137825685,26.4451748785845,26.8670774072523,27.2034371036223
"86",27.2671587520972,27.7601120884257,28.2153393523137,28.3758183816322,28.0268798197122,27.2786756314729,26.5634044489466,26.1008535040949,26.1587805640429,26.481507753071,26.8572364032717,27.1433288531196
"87",27.1325503928989,27.6164719675101,28.0662509469425,28.2610147588393,27.9541813869102,27.1703087376613,26.4873793658088,26.072449762681,26.1360310648002,26.4137035818661,26.6966268277636,26.9628059162813
"88",27.0663989633322,27.5191554799676,27.9178364276886,28.1626878976822,27.871237501502,27.0930314287543,26.4545269906521,26.0806706994772,26.1646640002728,26.4056737869978,26.6371678933501,26.8743660077453
"89",27.0340793332981,27.4523289585842,27.7785678674247,28.0873774462984,27.8446431269172,27.1162101731046,26.5420592359004,26.2115557066357,26.3180842508797,26.4987743537845,26.6702527490281,26.8559487466594
"90",27.1206135196186,27.4820120093528,27.7649535275577,28.1064154807101,27.9172245768572,27.2881628600846,26.7516990761632,26.4722416909893,26.5704054100237,26.7248249625445,26.8459535877356,26.9687541147296
"91",27.1743235097212,27.5079924218795,27.7609716162962,28.1279568531934,27.971111423829,27.4338260398192,26.944221496582,26.6822657515021,26.7755423573887,26.9030795588213,26.9950069539687,27.0856992777656
"92",27.2802358145242,27.5710143763504,27.8308253864666,28.2374300135798,28.1422916454273,27.6819516066666,27.222573409587,26.9582039480244,27.0531108912094,27.1649522187509,27.2318194532569,27.2671959705842
"93",27.3940182215926,27.6446241364963,27.9170148614524,28.3530952550363,28.3302104645881,27.940784316132,27.4957796456157,27.222338558971,27.3148958993995,27.4491694284522,27.5069469990938,27.4786880396415
"94",27.4905025495657,27.6755934132283,27.961175305262,28.4323653163843,28.4984388452537,28.1719192127457,27.7357663063615,27.4728864326073,27.5539906437742,27.7205250069446,27.7740625037743,27.6701600037699
"95",27.4992988308993,27.6264599123868,27.9353404790705,28.4389014088024,28.5582433596524,28.290186587247,27.887683840665,27.6501923231645,27.7194367148659,27.9128223904696,27.9521839419278,27.7797104575417
"96",27.4673730514469,27.5127120357328,27.8285170351521,28.37568403094,28.5608478360408,28.361744234178,28.0318130250281,27.8812045550971,27.9355516612307,28.1024097556925,28.0726546669721,27.8191028266364
"97",27.3983621310471,27.3795681788509,27.7010682113189,28.2786195869733,28.5072442893695,28.3822958164645,28.1030215356583,28.0173509855916,28.0738738784216,28.2113767423128,28.1341991496265,27.8116878136656
"98",27.2859590430009,27.2278337837162,27.5430273113394,28.1626234628204,28.4405522597464,28.3604352420434,28.0914556245158,28.0408116605945,28.132579925365,28.2595232626549,28.153663814516,27.7528519020941
"99",27.1381240223729,27.0579599557921,27.3576059415359,27.9957651833231,28.3228632017624,28.3062987438468,28.061444105104,28.0394788786422,28.1596666676129,28.2700525919596,28.1230252805606,27.6585918396942
"100",26.9625122528668,26.8639412000198,27.140482015388,27.7897547788398,28.1733365909074,28.2176546348158,28.0181575671647,28.0263221578081,28.1650591635889,28.2565925213718,28.0574681407721,27.5392081608144
"101",26.7840927572811,26.6622171888164,26.9222772411272,27.5682019626393,27.9998320261637,28.0929413365383,27.9524053835401,27.9957512051451,28.1397657132616,28.2293955410228,27.9731453764672,27.4180674384622
"102",26.5707201549998,26.4250761691522,26.6758878346269,27.3374675835819,27.8391936844609,27.9740503020446,27.8750271708549,27.9539749542577,28.128972000349,28.2065936730254,27.872767430699,27.2694812973193
"103",26.3941216734705,26.2150507505055,26.4497896853876,27.097810865778,27.6493010042325,27.8363551384454,27.8039006867816,27.933145161455,28.1208771063936,28.1674228299506,27.7718765230427,27.1376015900679
"104",26.2460748949124,26.0325415807826,26.2459972832949,26.8816757638946,27.4501367161292,27.6648196009279,27.6857834226303,27.8462851502513,28.0493497848511,28.119712640311,27.6799775625913,27.0021597156088
"105",26.0801343697768,25.8317753351652,26.0138184474065,26.6518553367028,27.2487071697529,27.5144981971154,27.6070803202116,27.8012052829449,28.0103270163903,28.0718046335074,27.5775062854473,26.8423553173359
"106",25.9018542267555,25.6049840394841,25.760833000952,26.3770456092302,27.0146501008854,27.3620460273684,27.5393754160681,27.7658558187559,27.9894185251044,28.0038724869721,27.4720622587574,26.683465225752
"107",25.6737957227798,25.3189920470828,25.4632268254719,26.0510094430712,26.718439435202,27.1661673500424,27.421316078731,27.6798830864921,27.9310814312526,27.9070809757899,27.3401305410597,26.5034638056679
"108",25.3789797682103,24.9818976099898,25.1179416935618,25.6996012509354,26.4053455290756,26.9435926220281,27.297230255313,27.5609644292816,27.815807303762,27.7420927218305,27.1328264484561,26.2543948646483
"109",25.0308528421245,24.5997498582452,24.7436698071368,25.3195723579043,26.0560849177373,26.6732635002632,27.1219357164391,27.399022667955,27.6398619944915,27.5194507202545,26.873557070117,25.9679283868699
"110",24.7663537907301,24.3404911951041,24.4848027488677,25.0772588402656,25.8966148887219,26.5985668772933,27.1027868023477,27.3784088948781,27.6084621461366,27.4323241341563,26.7216113740929,25.8010754285996
"111",24.3555641996449,23.918803815184,24.0558448988816,24.6443897362413,25.503674926429,26.3031003886256,26.9068955717416,27.1872045089459,27.4251212087171,27.1796570317499,26.4310045160096,25.4590673117802
"112",23.9912169931181,23.5381944510969,23.6248588818606,24.1788355908586,25.0569991894367,25.9719587249072,26.6754856024088,26.9943971762208,27.2425711764348,26.934731547608,26.1295481797291,25.1372447591191
"113",23.6408407940843,23.1452476483886,23.203554795085,23.7247069574172,24.6395443947084,25.6742624115834,26.468233565581,26.8152863462949,27.0681170538274,26.7146900985647,25.8453490876932,24.8065610349453
"114",23.2941514269799,22.7526463383463,22.8005265887506,23.3255858529207,24.318448269529,25.4755292348732,26.3379889699668,26.717215041769,26.9581542295568,26.5506183486179,25.5894858934221,24.4847243296075
"115",22.8472266218781,22.2546505388631,22.3044115213247,22.8674598279582,23.9784870924453,25.2771064447601,26.229657867915,26.6479966521803,26.8601738424862,26.3642977287327,25.2918584918544,24.0963679784024
"116",22.2791835444634,21.629297507201,21.6323644700744,22.1974412533039,23.3603031982279,24.8205983784277,25.985950747566,26.5192295934113,26.7397813125395,26.1007394029501,24.8976891208702,23.6087062280503
"117",21.7140541441703,21.0238764365894,21.0012430619965,21.5865568954979,22.8178755563982,24.4170502019271,25.7208359823273,26.3272989994031,26.5411495865817,25.8034609379381,24.5030581460615,23.1253316322582
"118",21.1510189771652,20.4238548737306,20.3786761118815,21.0057679506449,22.3095710644355,24.0541851979036,25.5453208684921,26.2225398467137,26.3925516421978,25.5196355397885,24.1031529903412,22.6430585017571
"119",20.5214039952147,19.7725320096109,19.6992861616845,20.3203096343022,21.6614861394845,23.521290769764,25.2357271979837,26.033186454399,26.1678489984251,25.1632359261606,23.6429344719532,22.1084388190625
"120",19.9548944800791,19.199040172076,19.0857725239763,19.6381002724773,20.9405864368786,22.8465606997711,24.7551137461807,25.6993933012991,25.8097155888875,24.7713725061128,23.17669146952,21.601831021935
"121",19.3961697267127,18.626506370584,18.4555759528758,18.9942610103232,20.2578435561818,22.1974671912317,24.2693735330216,25.4066507606309,25.4861429837084,24.3797893820649,22.6996676390653,21.0430238456924
"122",18.8498656086086,18.0613166179854,17.8641985716279,18.3882871804778,19.6786780799787,21.6878019903124,23.9661340320233,25.2467734543319,25.2949689688142,24.0428723109137,22.2605124503067,20.5240609670423
"123",18.240084076872,17.450708885004,17.2219269157636,17.7589732491144,19.0965971144119,21.1842384574437,23.6462471083839,25.0594640580734,25.0497273360149,23.6626878209633,21.7668361380549,19.9263468308024
"124",17.6142749648828,16.827225785989,16.5803152414469,17.122797539601,18.5225041554524,20.6594881690465,23.2483970110233,24.7907799298947,24.7312796849471,23.1916923064452,21.2140230490611,19.2836976647377
"125",17.1112935352325,16.3223612928391,16.0792319321632,16.6160495281219,18.0541123628616,20.2015910100937,22.8398430395126,24.504042596817,24.3872555065155,22.7607514858246,20.7038742256165,18.7356079339981
"126",16.4181271195412,15.6388892436028,15.3880919599533,15.9535428142548,17.4357992839813,19.5546270132065,22.2246374177933,23.9896897792816,23.8076498985291,22.1019295787811,19.9944584083557,18.0201756954193
"127",15.8016843499297,14.995249016915,14.75754929083,15.2963228275121,16.7946659740389,18.9469661119688,21.6529962262959,23.5671509312842,23.332932798356,21.5706316300624,19.3709328755196,17.4009505010022
"128",15.0221199445774,14.1900416223496,13.9732046905577,14.5446757800838,16.1507671385849,18.3791556531284,21.1738020249599,23.1873201755662,22.9297799619368,21.0362610644009,18.719796101664,16.6397957085328
"129",13.9127626893532,12.9888118641887,12.7976468914184,13.4390778826244,15.1752117451151,17.4562340873984,20.3697397554692,22.4981240846624,22.23706392032,20.2350981318536,17.7869512121476,15.6147617321109
"130",13.1455275085924,12.2284269462595,12.0490145485636,12.6309061964559,14.2830058972453,16.5410487713591,19.5001556712729,21.6464342008601,21.4663579723378,19.4199458552148,16.9752219995686,14.8271329711756
"131",12.0288141603628,11.1514654989401,10.9731390186436,11.5025351271445,13.0136999688754,15.2001390193707,18.1527320271697,20.4292795908385,20.3831201679799,18.3118519493229,15.8633937150734,13.7335446183853
